count,word_count,result_emojis,result,model_input,failed_inputs,errors,incoder_result,incoder_result_emojis,errors,failed_inputs,codeparrot_result,codeparrot_result_emojis,errors,failed_inputs
5,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/10.txt,[],[],fffpppppfffppp,❌❌❌✅✅✅✅✅❌❌❌✅✅✅,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
5,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/11.txt,[],[],eeeeeeepeeeeee,💀💀💀💀💀💀💀✅💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
6,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/12.txt,[],[],pppppppppppfff,✅✅✅✅✅✅✅✅✅✅✅❌❌❌,[],"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]",fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""True"", ""-1""], [""False"", ""-1""]]"
6,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/13.txt,[],[],pppppppppppffp,✅✅✅✅✅✅✅✅✅✅✅❌❌✅,[],"[[""True"", ""False""], [""True"", ""False""]]",fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""True"", ""-1""], [""False"", ""-1""]]"
11,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/14.txt,[],[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""]]"
11,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/15.txt,[],[],ppppfpppffffff,✅✅✅✅❌✅✅✅❌❌❌❌❌❌,[],"[[""True"", ""0""], [""False"", ""1""], [""False"", ""2""], [""False"", ""4""], [""False"", ""9""], [""False"", ""11""], [""True"", ""11""]]",eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[]
15,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/16.txt,[],[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
15,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/17.txt,[],[],ppppppfppppppf,✅✅✅✅✅✅❌✅✅✅✅✅✅❌,[],"[[""False"", ""True""], [""False"", ""True""]]",fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
29,True,✅✅✅✅✅✅❌✅✅✅✅✅✅✅,ppppppfppppppp,input/codex/bitdiff/18.txt,"[[""True"", ""False""]]",[],ppppppfppppppp,✅✅✅✅✅✅❌✅✅✅✅✅✅✅,[],"[[""True"", ""False""]]",fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
29,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/19.txt,[],[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable""]",[],fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
