codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,hash_type,transform,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha1,dash,Hello world,pppp,input/codex/hash/31.txt,[],[],[],[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha1,dash,Hallo welt,pppp,input/codex/hash/32.txt,[],[],[],[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
💀💀💀✅,💀💀💀✅,✅✅✅✅,sha1,dash,0,eeep,input/codex/hash/33.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
💀💀💀✅,💀💀💀✅,✅✅✅✅,sha1,dash,sha1,eeep,input/codex/hash/34.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
💀💀💀✅,💀💀💀✅,✅✅✅✅,sha1,dash,md5,eeep,input/codex/hash/35.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
✅✅✅✅,✅✅✅❌,✅✅✅✅,sha224,none,,pppp,input/codex/hash/36.txt,[],"[[""None"", ""'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'""]]",[],[],[],[],pppf,[],[],[],[],"[[""None"", ""'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'""]]",[],pppp,[],[],[],[],"[[""None"", ""'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'""]]",[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,none,Hello world,pppp,input/codex/hash/37.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha224,none,Hallo welt,pppp,input/codex/hash/38.txt,[],[],[],[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],eeep,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[]
💀💀💀✅,✅✅✅✅,✅✅✅✅,sha224,none,0,eeep,input/codex/hash/39.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha224,none,sha1,pppp,input/codex/hash/40.txt,[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],eeep,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[],pppp,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,none,md5,pppp,input/codex/hash/41.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,uppercase,,pppp,input/codex/hash/42.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,uppercase,Hello world,pppp,input/codex/hash/43.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha224,uppercase,Hallo welt,pppp,input/codex/hash/44.txt,[],[],[],[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],eeep,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha224,uppercase,0,pppp,input/codex/hash/45.txt,[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],eeep,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[],pppp,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,uppercase,sha1,pppp,input/codex/hash/46.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,uppercase,md5,pppp,input/codex/hash/47.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,dash,,pppp,input/codex/hash/48.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha224,dash,Hello world,pppp,input/codex/hash/49.txt,[],[],[],[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],eeep,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha224,dash,Hallo welt,pppp,input/codex/hash/50.txt,[],[],[],[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],eeep,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]",[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,dash,0,pppp,input/codex/hash/51.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,dash,sha1,pppp,input/codex/hash/52.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha224,dash,md5,pppp,input/codex/hash/53.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅❌,sha256,none,,pppp,input/codex/hash/54.txt,[],[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]",[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],eeep,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]",pppf,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]"
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha256,none,Hello world,pppp,input/codex/hash/55.txt,[],[],[],[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],eeep,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha256,none,Hallo welt,pppp,input/codex/hash/56.txt,[],[],[],[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],eeep,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],[]
✅✅✅✅,💀💀💀✅,❌❌❌✅,sha256,none,0,pppp,input/codex/hash/57.txt,[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""b'\\xf6\\xdcrM\\x11\\x96IF\\x0eG\\xceq\\x919\\xe5!\\xe0\\x82\\xbe\\x8a\\x97U\\xc5\\xbe\\xce\\x18\\x1d\\xe0F\\xeee\\xfe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""b'\\xab\\xdem\\x95\\xcb\\xe4\\x07\\xe6\\x8a\\x8f\\x83*L\\xd9\\x99OB]\\x87\\x90@\\x82\\x94=^?kk_\\xf6a\\x15'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""b'sd\\x1c\\x99\\xf7q\\x9fW\\xd8\\xf4\\xbe\\xb1\\x1a0:\\xfc\\xd1\\x90$:Q\\xce\\xd8x,\\xa6\\xd3\\xdb\\xe0\\x14\\xd1F'""]]",[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],eeep,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""b'\\xf6\\xdcrM\\x11\\x96IF\\x0eG\\xceq\\x919\\xe5!\\xe0\\x82\\xbe\\x8a\\x97U\\xc5\\xbe\\xce\\x18\\x1d\\xe0F\\xeee\\xfe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""b'\\xab\\xdem\\x95\\xcb\\xe4\\x07\\xe6\\x8a\\x8f\\x83*L\\xd9\\x99OB]\\x87\\x90@\\x82\\x94=^?kk_\\xf6a\\x15'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""b'sd\\x1c\\x99\\xf7q\\x9fW\\xd8\\xf4\\xbe\\xb1\\x1a0:\\xfc\\xd1\\x90$:Q\\xce\\xd8x,\\xa6\\xd3\\xdb\\xe0\\x14\\xd1F'""]]",fffp,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""b'\\xf6\\xdcrM\\x11\\x96IF\\x0eG\\xceq\\x919\\xe5!\\xe0\\x82\\xbe\\x8a\\x97U\\xc5\\xbe\\xce\\x18\\x1d\\xe0F\\xeee\\xfe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""b'\\xab\\xdem\\x95\\xcb\\xe4\\x07\\xe6\\x8a\\x8f\\x83*L\\xd9\\x99OB]\\x87\\x90@\\x82\\x94=^?kk_\\xf6a\\x15'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""b'sd\\x1c\\x99\\xf7q\\x9fW\\xd8\\xf4\\xbe\\xb1\\x1a0:\\xfc\\xd1\\x90$:Q\\xce\\xd8x,\\xa6\\xd3\\xdb\\xe0\\x14\\xd1F'""]]"
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha256,none,sha1,pppp,input/codex/hash/58.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,❌❌❌✅,sha256,none,md5,pppp,input/codex/hash/59.txt,[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",[],[],[],pppp,[],[],[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",fffp,[],[],[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]"
✅✅✅✅,✅✅✅❌,✅✅✅✅,sha256,uppercase,,pppp,input/codex/hash/60.txt,[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]",[],[],[],[],pppf,[],[],[],[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]",[],pppp,[],[],[],[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]",[]
✅✅✅✅,✅✅✅❌,❌❌❌✅,sha256,uppercase,Hello world,pppp,input/codex/hash/61.txt,[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]","[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",[],[],[],pppf,[],[],[],[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]","[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",fffp,[],[],[],[],"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]","[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]"
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha256,uppercase,Hallo welt,pppp,input/codex/hash/62.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,💀💀💀✅,❌❌❌✅,sha256,uppercase,0,pppp,input/codex/hash/63.txt,[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],eeep,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",fffp,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]",[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]"
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha256,uppercase,sha1,pppp,input/codex/hash/64.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,❌❌❌✅,sha256,uppercase,md5,pppp,input/codex/hash/65.txt,[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",[],[],[],pppp,[],[],[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]",fffp,[],[],[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""'f6dc724d119649460e47ce719139e521e082be8a9755c5bece181de046ee65fe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""'abde6d95cbe407e68a8f832a4cd9994f425d87904082943d5e3f6b6b5ff66115'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""'73641c99f7719f57d8f4beb11a303afcd190243a51ced8782ca6d3dbe014d146'""]]"
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha256,dash,,pppp,input/codex/hash/66.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha256,dash,Hello world,pppp,input/codex/hash/67.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha256,dash,Hallo welt,pppp,input/codex/hash/68.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅✅,❌❌❌✅,sha256,dash,0,pppp,input/codex/hash/69.txt,[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""b'\\xf6\\xdcrM\\x11\\x96IF\\x0eG\\xceq\\x919\\xe5!\\xe0\\x82\\xbe\\x8a\\x97U\\xc5\\xbe\\xce\\x18\\x1d\\xe0F\\xeee\\xfe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""b'\\xab\\xdem\\x95\\xcb\\xe4\\x07\\xe6\\x8a\\x8f\\x83*L\\xd9\\x99OB]\\x87\\x90@\\x82\\x94=^?kk_\\xf6a\\x15'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""b'sd\\x1c\\x99\\xf7q\\x9fW\\xd8\\xf4\\xbe\\xb1\\x1a0:\\xfc\\xd1\\x90$:Q\\xce\\xd8x,\\xa6\\xd3\\xdb\\xe0\\x14\\xd1F'""]]",[],[],[],pppp,[],[],[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""b'\\xf6\\xdcrM\\x11\\x96IF\\x0eG\\xceq\\x919\\xe5!\\xe0\\x82\\xbe\\x8a\\x97U\\xc5\\xbe\\xce\\x18\\x1d\\xe0F\\xeee\\xfe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""b'\\xab\\xdem\\x95\\xcb\\xe4\\x07\\xe6\\x8a\\x8f\\x83*L\\xd9\\x99OB]\\x87\\x90@\\x82\\x94=^?kk_\\xf6a\\x15'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""b'sd\\x1c\\x99\\xf7q\\x9fW\\xd8\\xf4\\xbe\\xb1\\x1a0:\\xfc\\xd1\\x90$:Q\\xce\\xd8x,\\xa6\\xd3\\xdb\\xe0\\x14\\xd1F'""]]",fffp,[],[],[],[],[],"[[""'64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c'"", ""b'\\xf6\\xdcrM\\x11\\x96IF\\x0eG\\xceq\\x919\\xe5!\\xe0\\x82\\xbe\\x8a\\x97U\\xc5\\xbe\\xce\\x18\\x1d\\xe0F\\xeee\\xfe'""], [""'f8ef5f9c7214669b5cd993209a3e312a5552f98d77e53f48ee463d742738346a'"", ""b'\\xab\\xdem\\x95\\xcb\\xe4\\x07\\xe6\\x8a\\x8f\\x83*L\\xd9\\x99OB]\\x87\\x90@\\x82\\x94=^?kk_\\xf6a\\x15'""], [""'5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8'"", ""b'sd\\x1c\\x99\\xf7q\\x9fW\\xd8\\xf4\\xbe\\xb1\\x1a0:\\xfc\\xd1\\x90$:Q\\xce\\xd8x,\\xa6\\xd3\\xdb\\xe0\\x14\\xd1F'""]]"
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha256,dash,sha1,pppp,input/codex/hash/70.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
