codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,hash_type,transform,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅,✅✅✅✅,💀💀💀✅,md5,uppercase,sha1,pppp,input/codex/hash/10.txt,[],[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,✅✅✅✅,💀💀💀✅,md5,uppercase,md5,pppp,input/codex/hash/11.txt,[],[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅❌,md5,dash,,pppp,input/codex/hash/12.txt,[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",[],[],[],pppp,[],[],[],[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",pppf,[],[],[],[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]"
✅✅✅✅,💀💀💀✅,❌❌❌✅,md5,dash,Hello world,pppp,input/codex/hash/13.txt,[],[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]",[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]",[],eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]",[],[],[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]",fffp,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]",[],[],[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]"
✅✅✅✅,💀💀💀✅,💀💀💀✅,md5,dash,Hallo welt,pppp,input/codex/hash/14.txt,[],[],[],[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
💀💀💀✅,❌❌❌✅,💀💀💀✅,md5,dash,0,eeep,input/codex/hash/15.txt,[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""'3e259'""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""'0ef78'""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""'5f4dc'""]]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",fffp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""'3e259'""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""'0ef78'""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""'5f4dc'""]]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""'3e259'""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""'0ef78'""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""'5f4dc'""]]",[]
✅✅✅✅,💀💀💀✅,💀💀💀✅,md5,dash,sha1,pppp,input/codex/hash/16.txt,[],[],[],[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,md5,dash,md5,pppp,input/codex/hash/17.txt,[],[],[],[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]",[],eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]",[],[],[],[],pppp,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]",[],[],[],[]
✅✅✅✅,💀💀💀✅,✅✅✅✅,sha1,none,,pppp,input/codex/hash/18.txt,[],[],[],[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
💀💀💀✅,💀💀💀✅,✅✅✅✅,sha1,none,Hello world,eeep,input/codex/hash/19.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,sha1,none,Hallo welt,pppp,input/codex/hash/20.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
