hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
sha224,none,sha1,💀💀💀✅,eeep,input/incoder/hash/40.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
sha224,none,md5,✅✅✅✅,pppp,input/incoder/hash/41.txt,[],[]
sha224,uppercase,,✅✅✅✅,pppp,input/incoder/hash/42.txt,[],[]
sha224,uppercase,Hello world,✅✅✅✅,pppp,input/incoder/hash/43.txt,[],[]
sha224,uppercase,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/44.txt,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]"
sha224,uppercase,0,💀💀💀✅,eeep,input/incoder/hash/45.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
sha224,uppercase,sha1,✅✅✅✅,pppp,input/incoder/hash/46.txt,[],[]
sha224,uppercase,md5,✅✅✅✅,pppp,input/incoder/hash/47.txt,[],[]
sha224,dash,,✅✅✅✅,pppp,input/incoder/hash/48.txt,[],[]
sha224,dash,Hello world,💀💀💀✅,eeep,input/incoder/hash/49.txt,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]"
sha224,dash,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/50.txt,[],"[""name 'sha224' is not defined"", ""name 'sha224' is not defined"", ""name 'sha224' is not defined""]"
sha224,dash,0,✅✅✅✅,pppp,input/incoder/hash/51.txt,[],[]
sha224,dash,sha1,✅✅✅✅,pppp,input/incoder/hash/52.txt,[],[]
sha224,dash,md5,✅✅✅✅,pppp,input/incoder/hash/53.txt,[],[]
sha256,none,,💀💀💀✅,eeep,input/incoder/hash/54.txt,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]"
sha256,none,Hello world,💀💀💀✅,eeep,input/incoder/hash/55.txt,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]"
