var,val,success_rate
var1_name,b,0.13425925925925927
line_order2,third,0.13690476190476192
line_order3,second,0.1388888888888889
line_order3,first,0.14285714285714285
op3,difference,0.14484126984126985
line_order1,third,0.14484126984126985
line_order1,second,0.14682539682539683
line_order2,first,0.1488095238095238
op1,sum,0.15873015873015872
var1_name,fkrjf4ifji4ofj,0.1697530864197531
var2_name,a,0.1712962962962963
op1,product,0.1746031746031746
op2,product,0.17857142857142858
var2_name,fekjfwoeifjwu5gfd,0.18055555555555555
op2,difference,0.1884920634920635
op2,sum,0.19444444444444445
op3,product,0.20833333333333334
op3,sum,0.20833333333333334
var2_name,b,0.21296296296296297
op1,difference,0.22817460317460317
var1_name,a,0.2662037037037037
line_order1,first,0.2698412698412698
line_order2,second,0.2757936507936508
line_order3,third,0.27976190476190477
