hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
sha256,none,Hello world,✅✅✅✅,pppp,input/codex/hash/55.txt,[],[]
sha256,none,Hallo welt,✅✅✅✅,pppp,input/codex/hash/56.txt,[],[]
sha256,none,0,✅✅✅✅,pppp,input/codex/hash/57.txt,[],[]
sha256,none,sha1,✅✅✅✅,pppp,input/codex/hash/58.txt,[],[]
sha256,none,md5,✅✅✅✅,pppp,input/codex/hash/59.txt,[],[]
sha256,uppercase,,✅✅✅✅,pppp,input/codex/hash/60.txt,[],[]
sha256,uppercase,Hello world,✅✅✅✅,pppp,input/codex/hash/61.txt,[],[]
sha256,uppercase,Hallo welt,✅✅✅✅,pppp,input/codex/hash/62.txt,[],[]
sha256,uppercase,0,✅✅✅✅,pppp,input/codex/hash/63.txt,[],[]
sha256,uppercase,sha1,✅✅✅✅,pppp,input/codex/hash/64.txt,[],[]
sha256,uppercase,md5,✅✅✅✅,pppp,input/codex/hash/65.txt,[],[]
sha256,dash,,✅✅✅✅,pppp,input/codex/hash/66.txt,[],[]
sha256,dash,Hello world,✅✅✅✅,pppp,input/codex/hash/67.txt,[],[]
sha256,dash,Hallo welt,✅✅✅✅,pppp,input/codex/hash/68.txt,[],[]
sha256,dash,0,✅✅✅✅,pppp,input/codex/hash/69.txt,[],[]
sha256,dash,sha1,✅✅✅✅,pppp,input/codex/hash/70.txt,[],[]
sha256,dash,md5,✅✅✅✅,pppp,input/codex/hash/71.txt,[],[]
sha384,none,,✅✅✅✅,pppp,input/codex/hash/72.txt,[],[]
sha384,none,Hello world,✅✅✅✅,pppp,input/codex/hash/73.txt,[],[]
sha384,none,Hallo welt,✅✅✅✅,pppp,input/codex/hash/74.txt,[],[]
sha384,none,0,✅✅✅✅,pppp,input/codex/hash/75.txt,[],[]
sha384,none,sha1,✅✅✅✅,pppp,input/codex/hash/76.txt,[],[]
sha384,none,md5,✅✅✅✅,pppp,input/codex/hash/77.txt,[],[]
sha384,uppercase,,✅✅✅✅,pppp,input/codex/hash/78.txt,[],[]
sha384,uppercase,Hello world,✅✅✅✅,pppp,input/codex/hash/79.txt,[],[]
sha384,uppercase,Hallo welt,✅✅✅✅,pppp,input/codex/hash/80.txt,[],[]
sha384,uppercase,0,✅✅✅✅,pppp,input/codex/hash/81.txt,[],[]
sha384,uppercase,sha1,✅✅✅✅,pppp,input/codex/hash/82.txt,[],[]
sha384,uppercase,md5,✅✅✅✅,pppp,input/codex/hash/83.txt,[],[]
sha384,dash,,✅✅✅✅,pppp,input/codex/hash/84.txt,[],[]
sha384,dash,Hello world,✅✅✅✅,pppp,input/codex/hash/85.txt,[],[]
sha384,dash,Hallo welt,✅✅✅✅,pppp,input/codex/hash/86.txt,[],[]
sha384,dash,0,✅✅✅✅,pppp,input/codex/hash/87.txt,[],[]
sha384,dash,sha1,✅✅✅✅,pppp,input/codex/hash/88.txt,[],[]
sha384,dash,md5,✅✅✅✅,pppp,input/codex/hash/89.txt,[],[]
sha512,none,,✅✅✅✅,pppp,input/codex/hash/90.txt,[],[]
sha512,none,Hello world,✅✅✅✅,pppp,input/codex/hash/91.txt,[],[]
sha512,none,Hallo welt,✅✅✅✅,pppp,input/codex/hash/92.txt,[],[]
sha512,none,0,✅✅✅✅,pppp,input/codex/hash/93.txt,[],[]
sha512,none,sha1,✅✅✅✅,pppp,input/codex/hash/94.txt,[],[]
sha512,none,md5,✅✅✅✅,pppp,input/codex/hash/95.txt,[],[]
sha512,uppercase,,✅✅✅✅,pppp,input/codex/hash/96.txt,[],[]
sha512,uppercase,Hello world,✅✅✅✅,pppp,input/codex/hash/97.txt,[],[]
sha512,uppercase,Hallo welt,✅✅✅✅,pppp,input/codex/hash/98.txt,[],[]
sha512,uppercase,0,✅✅✅✅,pppp,input/codex/hash/99.txt,[],[]
sha512,uppercase,sha1,✅✅✅✅,pppp,input/codex/hash/100.txt,[],[]
sha512,uppercase,md5,✅✅✅✅,pppp,input/codex/hash/101.txt,[],[]
sha512,dash,,✅✅✅✅,pppp,input/codex/hash/102.txt,[],[]
sha512,dash,Hello world,✅✅✅✅,pppp,input/codex/hash/103.txt,[],[]
sha512,dash,Hallo welt,✅✅✅✅,pppp,input/codex/hash/104.txt,[],[]
sha512,dash,0,✅✅✅✅,pppp,input/codex/hash/105.txt,[],[]
sha512,dash,sha1,✅✅✅✅,pppp,input/codex/hash/106.txt,[],[]
sha512,dash,md5,✅✅✅✅,pppp,input/codex/hash/107.txt,[],[]
blake2b,none,,💀💀💀✅,eeep,input/codex/hash/108.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,none,Hello world,💀💀💀✅,eeep,input/codex/hash/109.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,none,Hallo welt,💀💀💀✅,eeep,input/codex/hash/110.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,none,0,💀💀💀✅,eeep,input/codex/hash/111.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,none,sha1,💀💀💀✅,eeep,input/codex/hash/112.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,none,md5,💀💀💀✅,eeep,input/codex/hash/113.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,,💀💀💀✅,eeep,input/codex/hash/114.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,Hello world,💀💀💀✅,eeep,input/codex/hash/115.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,Hallo welt,💀💀💀✅,eeep,input/codex/hash/116.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,0,💀💀💀✅,eeep,input/codex/hash/117.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,sha1,💀💀💀✅,eeep,input/codex/hash/118.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,md5,💀💀💀✅,eeep,input/codex/hash/119.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,,💀💀💀✅,eeep,input/codex/hash/120.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,Hello world,💀💀💀✅,eeep,input/codex/hash/121.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,Hallo welt,💀💀💀✅,eeep,input/codex/hash/122.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,0,💀💀💀✅,eeep,input/codex/hash/123.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,sha1,💀💀💀✅,eeep,input/codex/hash/124.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
